capacity_scenario,strategy,site_id,sessions_total,real_sessions_count,synthetic_sessions_count,total_energy_requested_kwh,total_energy_delivered_kwh,unserved_energy_kwh,unserved_energy_percent,sessions_fully_served_percent,peak_load_kw,mean_load_kw,load_std_kw,load_factor,ramp_rate_mean,ramp_rate_max,capacity_violation_hours,capacity_violation_percent,max_capacity_violation_kw,total_capacity_violation_kwh,average_delay_hours,uncontrolled_peak_load_kw,peak_reduction_kw_vs_uncontrolled,peak_reduction_percent_vs_uncontrolled
capacity_mean_plus_2std,uncertainty_aware,N_Wilson_Garage_01,3419,0,3419,26143.55203129621,26143.55203129621,0.0,0.0,100.0,105.90781515333133,26.844762555840084,24.91710031090457,0.25347291431680224,21.395360297100602,87.14157706760275,2,0.15117157974300832,18.766238085728574,19.423738085728573,3.1228666673732324,180.9154048136013,75.00758966026997,41.460034725926704
capacity_mean_plus_2std,uncertainty_aware,Parking_Lot_01,648,0,648,4973.161769623605,4973.161769623605,0.0,0.0,100.0,15.735626514362002,3.0350227185953456,3.935438652698509,0.19287587410804788,2.1526696638537617,14.182681542355645,1,0.0449842555105713,1.5529449720063564,1.5529449720063564,2.7552558335046813,39.274166666666666,23.538540152304662,59.93390095857242
capacity_mean_plus_2std,uncertainty_aware,S_Wilson_Garage_01,871,0,871,7007.257207123628,7007.257207123628,0.0,0.0,100.0,25.768816602531686,4.278948659227386,5.307756198819869,0.16605142274197396,3.222913636684754,18.43796380491152,4,0.1810774105930285,7.330852797620167,13.036821857684462,3.7230738600058157,51.527813813786366,25.75899721125468,49.990471756367846
capacity_mean_plus_2std,uncontrolled,Arroyo_Garage_01,2115,0,2115,16014.722791920507,16014.722791920507,0.0,0.0,100.0,243.35788108868672,37.96101963048593,39.34129321501372,0.15598845396197308,15.878891301684927,154.0243581245299,26,4.29042904290429,126.71427502817335,1228.1897634965217,0.07884149721169931,243.35788108868672,0.0,0.0
capacity_mean_plus_2std,uncontrolled,California_Garage_01,9079,9079,0,79342.95940747308,79311.12407413973,31.835333333350718,0.04012370293608211,98.81044167859896,216.23802760061312,33.07949631352251,34.01682591750498,0.15297723846528796,14.395904604153827,141.6750054222344,209,6.188925081433225,115.12487945208065,6794.824465053829,0.1632392947246224,216.23802760061312,0.0,0.0
capacity_mean_plus_2std,uncontrolled,California_Garage_02,5203,0,5203,39445.471294984905,39443.01779498491,2.4534999999959837,0.006219978921402624,99.9807803190467,155.72596666912406,21.197849639729462,24.050963108321668,0.13612276804657256,10.019518475895776,104.81245175680593,130,4.892736168611216,86.42619081275126,3173.3056191361366,0.07677751415828632,155.72596666912406,0.0,0.0
capacity_mean_plus_2std,uncontrolled,N_Wilson_Garage_01,3419,0,3419,26143.55203129621,26143.55203129621,0.0,0.0,100.0,180.9154048136013,28.140318221805924,29.500629422898417,0.15554406906807708,12.659978623149987,108.81262237100708,70,5.291005291005291,93.77382774599855,2100.9953514457093,0.08434236738827369,180.9154048136013,0.0,0.0
capacity_mean_plus_2std,uncontrolled,Parking_Lot_01,648,0,648,4973.161769623605,4971.156936290272,2.0048333333334085,0.04031305286667047,99.84567901234568,39.274166666666666,3.1799406430929835,5.501370449631331,0.08096774325174691,2.4848006050557006,27.630666666666666,111,4.993252361673414,25.09148512431102,692.9657969258809,0.07828052194670958,39.274166666666666,0.0,0.0
capacity_mean_plus_2std,uncontrolled,S_Wilson_Garage_01,871,0,871,7007.257207123628,7007.257207123628,0.0,0.0,100.0,51.527813813786366,4.477210716155598,6.980376544377959,0.0868892038062308,3.1706274772236425,39.6,120,5.432322317790856,33.08985000887485,841.2251507740082,0.10432011217395903,51.527813813786366,0.0,0.0
capacity_mean_plus_2std,valley_filling,Arroyo_Garage_01,2115,0,2115,16014.722791920507,16014.722791920505,1.8189894035458565e-12,1.135823221656727e-14,100.0,77.56786980306346,39.08505954110053,17.951123821376626,0.5038820795302659,4.4615218347479315,36.669166666666676,0,0.0,0.0,0.0,4.401016827163513,243.35788108868672,165.79001128562328,68.12600871767312
capacity_mean_plus_2std,valley_filling,California_Garage_01,9079,9079,0,79342.95940747308,79341.89974080642,1.0596666666679084,0.0013355522337223302,99.98898557109814,101.11314814853247,34.171669747312464,20.874110504207803,0.337954760315792,5.578628708342983,60.809534883720936,0,0.0,0.0,0.0,2.70275818181454,216.23802760061312,115.12487945208065,53.23988603184716
capacity_mean_plus_2std,valley_filling,California_Garage_02,5203,0,5203,39445.471294984905,39445.471294984905,0.0,0.0,100.0,57.390228092695494,21.6442653847872,12.518227676950042,0.3771419996768062,3.485744115375827,29.177888927295776,0,0.0,0.0,0.0,4.197417095035586,155.72596666912406,98.33573857642857,63.14665478068
capacity_mean_plus_2std,valley_filling,N_Wilson_Garage_01,3419,0,3419,26143.55203129621,26143.55203129621,0.0,0.0,100.0,69.28164848666468,28.938604267411765,13.086396033485915,0.4176950880864485,3.8315803776525943,34.842072466103346,0,0.0,0.0,0.0,4.281251504455977,180.9154048136013,111.63375632693662,61.704947924116155
capacity_mean_plus_2std,valley_filling,Parking_Lot_01,648,0,648,4973.161769623605,4973.161769623605,0.0,0.0,100.0,14.182681542355645,2.902135250910374,3.4599701836847148,0.20462528487601855,1.8602140687382929,13.2,0,0.0,0.0,0.0,1.8486032456019705,39.274166666666666,25.09148512431102,63.888014066017156
capacity_mean_plus_2std,valley_filling,S_Wilson_Garage_01,871,0,871,7007.257207123628,7007.257207123628,0.0,0.0,100.0,25.03796380491152,4.152633241915846,4.131608440054587,0.16585347252164545,2.1074466919702783,18.6799957885284,6,0.27161611588954276,6.600000000000001,21.343472712298247,2.6197846429022094,51.527813813786366,26.489850008874846,51.40883737975981
capacity_p95,hybrid_uncertainty_peak,Arroyo_Garage_01,2115,0,2115,16014.722791920507,16014.722791920507,0.0,0.0,100.0,107.10902303058705,37.220281955593045,23.837928937577445,0.3474990332510462,14.786890160693897,99.48502303058706,0,0.0,0.0,0.0,4.443383827047892,243.35788108868672,136.24885805809967,55.98703335539259
capacity_p95,hybrid_uncertainty_peak,California_Garage_01,9079,9079,0,79342.95940747308,79341.89974080642,1.0596666666679084,0.0013355522337223302,99.98898557109814,130.34285609370443,33.17204794974946,27.52475434658179,0.254498397103573,13.665307141105668,111.95472738149239,5,0.14806040864672787,18.388128712212037,51.22039371884392,2.3951259805607625,216.23802760061312,85.8951715069087,39.72250970840115
capacity_p95,hybrid_uncertainty_peak,California_Garage_02,5203,0,5203,39445.471294984905,39445.471294984905,0.0,0.0,100.0,70.66260689154656,20.149217832047658,19.61855607764325,0.2851468226041082,15.085117423871734,68.72073657325969,4,0.1505457282649605,1.941870318286874,3.987418028346255,3.5557943723294896,155.72596666912406,85.0633597775775,54.62374811152358
capacity_p95,hybrid_uncertainty_peak,N_Wilson_Garage_01,3419,0,3419,26143.55203129621,26143.55203129621,0.0,0.0,100.0,106.1765287569326,26.864876078395486,25.122902949878164,0.25302085491885506,21.538988846526333,90.01284096350537,2,0.15117157974300832,16.16368779342723,16.821187793427228,3.1092859582655317,180.9154048136013,74.7388760566687,41.31150475199877
capacity_p95,hybrid_uncertainty_peak,Parking_Lot_01,648,0,648,4973.161769623605,4973.161769623605,0.0,0.0,100.0,15.737652811099926,3.0350206015711816,3.935229170509785,0.19285090591339968,2.152509003737898,14.1735953482936,1,0.0449842555105713,1.5640574628063248,1.5640574628063248,2.755216495010755,39.274166666666666,23.53651385556674,59.928741595790456
capacity_p95,hybrid_uncertainty_peak,S_Wilson_Garage_01,871,0,871,7007.257207123628,7007.257207123628,0.0,0.0,100.0,25.784331610247605,4.28303309263368,5.336862446637637,0.16610991346897863,3.2378076086726755,18.955130728775607,4,0.1810774105930285,6.829200881471998,9.051718079578748,3.7220629700750085,51.527813813786366,25.74348220353876,49.96036178940517
capacity_p95,peak_sensitive,Arroyo_Garage_01,2115,0,2115,16014.722791920507,16014.722791920507,0.0,0.0,100.0,107.10902303058705,37.217395816979185,23.841286488459076,0.3474720874482352,14.790269698647691,94.63402303058706,0,0.0,0.0,0.0,4.4432004550442725,243.35788108868672,136.24885805809967,55.98703335539259
capacity_p95,peak_sensitive,California_Garage_01,9079,9079,0,79342.95940747308,79341.89974080642,1.0596666666679084,0.0013355522337223302,99.98898557109814,130.34285609370443,33.15474790975712,27.51287890975962,0.2543656699215025,13.646036627397592,111.95472738149239,5,0.14806040864672787,18.388128712212037,51.22039371884392,2.396250384272111,216.23802760061312,85.8951715069087,39.72250970840115
capacity_p95,peak_sensitive,California_Garage_02,5203,0,5203,39445.471294984905,39445.471294984905,0.0,0.0,100.0,70.66260689154656,20.14669975470754,19.624994477812177,0.28511118738697017,15.111355539159895,68.72073657325969,4,0.1505457282649605,1.941870318286874,3.987418028346255,3.555283834894305,155.72596666912406,85.0633597775775,54.62374811152358
capacity_p95,peak_sensitive,N_Wilson_Garage_01,3419,0,3419,26143.55203129621,26143.55203129621,0.0,0.0,100.0,106.1765287569326,26.827240780780226,25.097950603741822,0.252666395246309,21.556148301995492,90.01284096350537,2,0.15117157974300832,16.16368779342723,16.821187793427228,3.1016717332016115,180.9154048136013,74.7388760566687,41.31150475199877
capacity_p95,peak_sensitive,Parking_Lot_01,648,0,648,4973.161769623605,4973.161769623605,0.0,0.0,100.0,15.737652811099926,3.0350206015711816,3.935229170509785,0.19285090591339968,2.152509003737898,14.1735953482936,1,0.0449842555105713,1.5640574628063248,1.5640574628063248,2.755216495010755,39.274166666666666,23.53651385556674,59.928741595790456
capacity_p95,peak_sensitive,S_Wilson_Garage_01,871,0,871,7007.257207123628,7007.257207123628,0.0,0.0,100.0,25.784331610247605,4.279226262299696,5.331898117514301,0.16596227224284457,3.235742655592358,18.955130728775607,4,0.1810774105930285,6.829200881471998,9.051718079578748,3.7231381330493956,51.527813813786366,25.74348220353876,49.96036178940517
capacity_p95,point_forecast,Arroyo_Garage_01,2115,0,2115,16014.722791920507,16014.722791920507,0.0,0.0,100.0,107.10902303058705,37.220281955593045,23.837928937577445,0.3474990332510462,14.786890160693897,99.48502303058706,0,0.0,0.0,0.0,4.443383827047892,243.35788108868672,136.24885805809967,55.98703335539259
capacity_p95,point_forecast,California_Garage_01,9079,9079,0,79342.95940747308,79341.89974080642,1.0596666666679084,0.0013355522337223302,99.98898557109814,130.34285609370443,33.15474790975712,27.51287890975962,0.2543656699215025,13.646036627397592,111.95472738149239,5,0.14806040864672787,18.388128712212037,51.22039371884392,2.396250384272111,216.23802760061312,85.8951715069087,39.72250970840115
capacity_p95,point_forecast,California_Garage_02,5203,0,5203,39445.471294984905,39445.471294984905,0.0,0.0,100.0,70.66260689154656,20.146611477930684,19.612352102641626,0.2851099381155275,15.067043431961105,68.72073657325969,4,0.1505457282649605,1.941870318286874,3.987418028346255,3.5562996070818467,155.72596666912406,85.0633597775775,54.62374811152358
capacity_p95,point_forecast,N_Wilson_Garage_01,3419,0,3419,26143.55203129621,26143.55203129621,0.0,0.0,100.0,106.1765287569326,26.8774537004736,25.19675653794636,0.2531393144524767,21.47585774671517,90.01284096350537,2,0.15117157974300832,16.16368779342723,16.821187793427228,3.102793719328437,180.9154048136013,74.7388760566687,41.31150475199877
capacity_p95,point_forecast,Parking_Lot_01,648,0,648,4973.161769623605,4973.161769623605,0.0,0.0,100.0,15.737652811099926,3.0350206015711816,3.935229170509785,0.19285090591339968,2.152509003737898,14.1735953482936,1,0.0449842555105713,1.5640574628063248,1.5640574628063248,2.755216495010755,39.274166666666666,23.53651385556674,59.928741595790456
capacity_p95,point_forecast,S_Wilson_Garage_01,871,0,871,7007.257207123628,7007.257207123628,0.0,0.0,100.0,25.784331610247605,4.27834585844869,5.3324710965801385,0.16592812732629936,3.249605128165406,18.955130728775607,4,0.1810774105930285,6.829200881471998,9.051718079578748,3.7233874913562928,51.527813813786366,25.74348220353876,49.96036178940517
capacity_p95,uncertainty_aware,Arroyo_Garage_01,2115,0,2115,16014.722791920507,16014.722791920507,0.0,0.0,100.0,107.10902303058705,37.220281955593045,23.837928937577445,0.3474990332510462,14.786890160693897,99.48502303058706,0,0.0,0.0,0.0,4.443383827047892,243.35788108868672,136.24885805809967,55.98703335539259
capacity_p95,uncertainty_aware,California_Garage_01,9079,9079,0,79342.95940747308,79341.89974080642,1.0596666666679084,0.0013355522337223302,99.98898557109814,130.34285609370443,33.17250177988536,27.524621408588054,0.2545018789218291,13.660486685101423,111.95472738149239,5,0.14806040864672787,18.388128712212037,51.22039371884392,2.394930348221085,216.23802760061312,85.8951715069087,39.72250970840115
capacity_p95,uncertainty_aware,California_Garage_02,5203,0,5203,39445.471294984905,39445.471294984905,0.0,0.0,100.0,70.66260689154656,20.14686403314923,19.611524176212395,0.28511351221546033,15.0643341401902,68.72073657325969,4,0.1505457282649605,1.941870318286874,3.987418028346255,3.5561509636097206,155.72596666912406,85.0633597775775,54.62374811152358
capacity_p95,uncertainty_aware,N_Wilson_Garage_01,3419,0,3419,26143.55203129621,26143.55203129621,0.0,0.0,100.0,106.1765287569326,26.8774537004736,25.19675653794636,0.2531393144524767,21.47585774671517,90.01284096350537,2,0.15117157974300832,16.16368779342723,16.821187793427228,3.102793719328437,180.9154048136013,74.7388760566687,41.31150475199877
capacity_p95,uncertainty_aware,Parking_Lot_01,648,0,648,4973.161769623605,4973.161769623605,0.0,0.0,100.0,15.737652811099926,3.0350206015711816,3.935229170509785,0.19285090591339968,2.152509003737898,14.1735953482936,1,0.0449842555105713,1.5640574628063248,1.5640574628063248,2.755216495010755,39.274166666666666,23.53651385556674,59.928741595790456
capacity_p95,uncertainty_aware,S_Wilson_Garage_01,871,0,871,7007.257207123628,7007.257207123628,0.0,0.0,100.0,25.784331610247605,4.279562451873062,5.337851187094475,0.16597531076478292,3.245846138423858,18.955130728775607,4,0.1810774105930285,6.829200881471998,9.051718079578748,3.7220587825998406,51.527813813786366,25.74348220353876,49.96036178940517
capacity_p95,uncontrolled,Arroyo_Garage_01,2115,0,2115,16014.722791920507,16014.722791920507,0.0,0.0,100.0,243.35788108868672,37.96101963048593,39.34129321501372,0.15598845396197308,15.878891301684927,154.0243581245299,31,5.115511551155116,136.24885805809967,1495.4643319677639,0.07884149721169931,243.35788108868672,0.0,0.0
capacity_p95,uncontrolled,California_Garage_01,9079,9079,0,79342.95940747308,79311.12407413973,31.835333333350718,0.04012370293608211,98.81044167859896,216.23802760061312,33.07949631352251,34.01682591750498,0.15297723846528796,14.395904604153827,141.6750054222344,169,5.004441812259402,104.28330021912073,4762.289051166422,0.1632392947246224,216.23802760061312,0.0,0.0
capacity_p95,uncontrolled,California_Garage_02,5203,0,5203,39445.471294984905,39443.01779498491,2.4534999999959837,0.006219978921402624,99.9807803190467,155.72596666912406,21.197849639729462,24.050963108321668,0.13612276804657256,10.019518475895776,104.81245175680593,133,5.005645464809936,87.00523009586438,3249.4768888880553,0.07677751415828632,155.72596666912406,0.0,0.0
capacity_p95,uncontrolled,N_Wilson_Garage_01,3419,0,3419,26143.55203129621,26143.55203129621,0.0,0.0,100.0,180.9154048136013,28.140318221805924,29.500629422898417,0.15554406906807708,12.659978623149987,108.81262237100708,67,5.064247921390779,90.90256385009593,1904.8630631793249,0.08434236738827369,180.9154048136013,0.0,0.0
capacity_p95,uncontrolled,Parking_Lot_01,648,0,648,4973.161769623605,4971.156936290272,2.0048333333334085,0.04031305286667047,99.84567901234568,39.274166666666666,3.1799406430929835,5.501370449631331,0.08096774325174691,2.4848006050557006,27.630666666666666,112,5.038236617183985,25.100571318373063,693.981356542504,0.07828052194670958,39.274166666666666,0.0,0.0
capacity_p95,uncontrolled,S_Wilson_Garage_01,871,0,871,7007.257207123628,7007.257207123628,0.0,0.0,100.0,51.527813813786366,4.477210716155598,6.980376544377959,0.0868892038062308,3.1706274772236425,39.6,111,5.024898143956541,32.57268308501076,781.1173734708627,0.10432011217395903,51.527813813786366,0.0,0.0
capacity_p95,valley_filling,Arroyo_Garage_01,2115,0,2115,16014.722791920507,16014.722791920505,1.8189894035458565e-12,1.135823221656727e-14,100.0,77.56786980306346,39.08505954110053,17.951123821376626,0.5038820795302659,4.4615218347479315,36.669166666666676,0,0.0,0.0,0.0,4.401016827163513,243.35788108868672,165.79001128562328,68.12600871767312
capacity_p95,valley_filling,California_Garage_01,9079,9079,0,79342.95940747308,79341.89974080642,1.0596666666679084,0.0013355522337223302,99.98898557109814,108.48534130043687,34.16999141253386,20.88273006545741,0.3149733503432897,5.582994828065757,60.809534883720936,0,0.0,0.0,0.0,2.702607370506643,216.23802760061312,107.75268630017625,49.83059062081027
capacity_p95,valley_filling,California_Garage_02,5203,0,5203,39445.471294984905,39445.471294984905,0.0,0.0,100.0,57.390228092695494,21.6442653847872,12.518227676950042,0.3771419996768062,3.485744115375827,29.177888927295776,0,0.0,0.0,0.0,4.197417095035586,155.72596666912406,98.33573857642857,63.14665478068
capacity_p95,valley_filling,N_Wilson_Garage_01,3419,0,3419,26143.55203129621,26143.55203129621,0.0,0.0,100.0,69.28164848666468,28.938604267411765,13.086396033485915,0.4176950880864485,3.8315803776525943,34.842072466103346,0,0.0,0.0,0.0,4.281251504455977,180.9154048136013,111.63375632693662,61.704947924116155
capacity_p95,valley_filling,Parking_Lot_01,648,0,648,4973.161769623605,4973.161769623605,0.0,0.0,100.0,14.1735953482936,2.902135250910374,3.4599698605910656,0.2047564629577047,1.8602140687382929,13.2,0,0.0,0.0,0.0,1.8486063241816877,39.274166666666666,25.100571318373063,63.911149360367666
capacity_p95,valley_filling,S_Wilson_Garage_01,871,0,871,7007.257207123628,7007.257207123628,0.0,0.0,100.0,25.55513072877561,4.154850260388215,4.140449170053939,0.16258379988288485,2.107811196752089,25.555130728775605,5,0.22634676324128564,6.600000000000001,18.82670403425275,2.6194677659948087,51.527813813786366,25.972683085010758,50.40517181433713
capacity_p95_plus_10percent,hybrid_uncertainty_peak,Arroyo_Garage_01,2115,0,2115,16014.722791920507,16014.722791920507,0.0,0.0,100.0,117.81992533364577,37.20468720634638,24.07072472424665,0.31577585116430096,14.943280267211916,100.39511088451188,0,0.0,0.0,0.0,4.438461602629282,243.35788108868672,125.53795575504095,51.58573669093184
capacity_p95_plus_10percent,hybrid_uncertainty_peak,California_Garage_01,9079,9079,0,79342.95940747308,79341.89974080642,1.0596666666679084,0.0013355522337223302,99.98898557109814,130.28828611545023,33.18271928226411,27.750569962313126,0.254686896816345,13.804964356641639,118.64741583211824,4,0.11844832691738229,7.138085995808595,21.743006156997353,2.3886170611387496,216.23802760061312,85.94974148516289,39.74774577758828
capacity_p95_plus_10percent,hybrid_uncertainty_peak,California_Garage_02,5203,0,5203,39445.471294984905,39445.471294984905,0.0,0.0,100.0,77.26614356391899,20.153270672085,20.09134681769253,0.2608292551240513,15.426843466069998,75.59281023058566,2,0.07527286413248024,1.673333333333332,1.751118897453864,3.512550017482354,155.72596666912406,78.45982310520507,50.38326284524608
capacity_p95_plus_10percent,hybrid_uncertainty_peak,N_Wilson_Garage_01,3419,0,3419,26143.55203129621,26143.55203129621,0.0,0.0,100.0,108.06931515333132,26.935306199875146,25.973572860504717,0.2492410187078422,21.925287546989463,99.01412505985591,1,0.07558578987150416,9.055190093475403,9.055190093475403,3.046833014900402,180.9154048136013,72.84608966026998,40.265277429152
capacity_p95_plus_10percent,hybrid_uncertainty_peak,Parking_Lot_01,648,0,648,4973.161769623605,4973.161769623605,0.0,0.0,100.0,15.590954883122961,3.0380560657274325,3.973399727100461,0.19486016658390148,2.1813404954716358,15.590954883122961,0,0.0,0.0,0.0,2.758254888550277,39.274166666666666,23.683211783543705,60.30226429640444
capacity_p95_plus_10percent,hybrid_uncertainty_peak,S_Wilson_Garage_01,871,0,871,7007.257207123628,7007.257207123628,0.0,0.0,100.0,24.70848351220239,4.2838082715255545,5.444155808264427,0.17337398587857397,3.3088775903923873,20.85064380165317,1,0.04526935264825713,3.857839710549218,3.857839710549218,3.7137702755912207,51.527813813786366,26.819330301583978,52.048259603065894
